date,num_hosp,num_icu_hosp,num_admits_hosp,num_deaths_from_hosp,num_deaths_from_home
7/17/21,168,65,35,0,2
7/18/21,169,66,24,0,2
7/19/21,188,70,38,0,4
7/20/21,188,66,27,1,1
7/21/21,195,74,41,2,3
7/22/21,212,82,39,1,1
7/23/21,212,91,37,2,3
7/24/21,227,88,36,2,3
7/25/21,245,91,41,3,0
7/26/21,257,95,39,1,0
7/27/21,284,103,60,3,0
7/28/21,306,106,66,1,3
7/29/21,317,109,53,1,1
7/30/21,330,117,54,0,2
7/31/21,354,113,70,1,2
8/1/21,377,129,63,4,4
8/2/21,400,137,62,3,4
8/3/21,425,153,76,3,1
8/4/21,469,161,91,6,4
8/5/21,475,167,78,1,3
8/6/21,502,184,109,4,4
8/7/21,511,168,77,8,4
8/8/21,531,183,73,4,2
8/9/21,549,191,74,9,3
8/10/21,561,188,81,9,1
8/11/21,588,198,93,9,0
8/12/21,600,196,74,6,7
8/13/21,588,198,79,9,5
8/14/21,591,203,88,5,1
8/15/21,581,196,53,5,4
8/16/21,576,213,64,7,5
8/17/21,595,217,91,4,6
8/18/21,605,223,82,7,8
8/19/21,605,221,79,9,4
8/20/21,607,222,86,7,6
8/21/21,634,230,84,9,5
8/22/21,630,237,74,3,8
8/23/21,625,232,64,6,5
8/24/21,633,231,78,8,5
8/25/21,640,225,86,6,14
8/26/21,617,229,71,5,6
8/27/21,623,230,80,9,9
8/28/21,616,229,89,9,7
8/29/21,602,231,48,14,9
8/30/21,591,220,55,9,8
8/31/21,569,211,63,8,1
9/1/21,570,214,69,7,7
9/2/21,569,212,71,8,5
9/3/21,571,218,69,14,0
9/4/21,532,211,40,9,4
9/5/21,540,207,54,11,3
9/6/21,549,205,61,8,2
9/7/21,527,203,50,7,3
9/8/21,536,205,57,5,5
9/9/21,536,202,67,6,8
9/10/21,515,212,53,11,8
9/11/21,494,210,57,5,7
9/12/21,478,210,41,7,5
9/13/21,496,217,57,4,7
9/14/21,524,205,68,9,5
9/15/21,519,231,47,7,7
9/16/21,524,229,62,6,7
9/17/21,502,220,34,4,3
9/18/21,492,215,60,6,3
9/19/21,493,216,45,8,0
9/20/21,492,208,45,14,2
9/21/21,479,195,47,9,4
9/22/21,462,181,33,6,3
9/23/21,446,189,41,6,4
9/24/21,428,188,38,7,6
9/25/21,403,178,33,3,2
9/26/21,394,175,20,6,1
9/27/21,377,162,25,1,4
9/28/21,369,170,33,3,5
9/29/21,354,157,33,6,5
9/30/21,329,158,26,4,5
10/1/21,316,148,35,7,4
10/2/21,303,144,25,5,1
10/3/21,303,144,19,5,3
10/4/21,294,143,22,0,5
10/5/21,274,118,14,1,7
10/6/21,273,124,28,5,5
10/7/21,257,121,24,9,1
10/8/21,242,105,17,3,2
10/9/21,226,104,26,3,2
10/10/21,216,95,11,5,4
10/11/21,205,90,16,1,1
10/12/21,193,89,19,1,3
10/13/21,189,93,21,3,3
10/14/21,193,87,24,3,5
10/15/21,188,85,23,4,1
10/16/21,177,84,10,1,3
10/17/21,175,81,15,3,4
10/18/21,171,75,12,5,0
10/19/21,158,75,17,1,0
10/20/21,162,73,22,2,2
10/21/21,162,70,16,1,0
10/22/21,147,68,9,0,3
10/23/21,145,67,18,1,4
10/24/21,141,67,15,1,2
10/25/21,142,66,11,2,1
10/26/21,135,55,8,2,2
10/27/21,136,58,19,2,2
10/28/21,139,62,16,2,1
10/29/21,132,58,9,0,1
10/30/21,133,60,18,4,1
10/31/21,129,54,15,2,0
11/1/21,118,49,2,3,2
11/2/21,110,47,8,0,1
11/3/21,111,52,17,3,1
11/4/21,114,55,18,0,1
11/5/21,116,56,17,2,0
11/6/21,114,56,10,1,0
11/7/21,123,58,13,1,3
11/8/21,121,55,6,1,1
11/9/21,118,51,19,2,0
11/10/21,113,65,14,4,0
11/11/21,117,62,16,2,0
11/12/21,120,63,16,0,0
11/13/21,113,59,16,3,0
11/14/21,116,53,12,1,0
11/15/21,112,55,7,0,0
11/16/21,111,56,9,2,4
11/17/21,115,51,15,3,0
11/18/21,103,53,15,2,0
11/19/21,102,52,15,0,1
11/20/21,105,52,12,1,1
11/21/21,102,51,7,0,1
11/22/21,104,53,11,0,2
11/23/21,109,51,17,0,1
11/24/21,106,48,15,0,2
11/25/21,106,44,13,2,0
11/26/21,105,46,7,2,0
11/27/21,103,45,12,1,1
11/28/21,106,40,16,1,3
11/29/21,99,43,9,1,1
11/30/21,99,47,13,1,2
12/1/21,96,45,11,1,1
12/2/21,106,46,25,0,2
12/3/21,95,46,3,3,0
12/4/21,94,43,12,3,0
12/5/21,101,41,13,2,1
12/6/21,103,40,17,3,0
12/7/21,99,39,10,0,1
12/8/21,107,42,15,3,0
12/9/21,103,41,17,6,0
12/10/21,105,35,19,0,0
12/11/21,109,36,22,1,0
12/12/21,115,42,21,0,0
12/13/21,118,43,15,0,0
12/14/21,113,42,13,0,0
12/15/21,110,41,18,1,1
12/16/21,113,39,17,1,0
12/17/21,115,37,14,1,0
12/18/21,105,34,18,0,0
12/19/21,108,32,19,0,0
12/20/21,100,36,9,0,1
12/21/21,101,34,11,2,1
12/22/21,106,36,24,0,1
12/23/21,123,36,36,1,0
12/24/21,128,37,30,1,2
12/25/21,140,44,31,0,0
12/26/21,157,48,31,0,2
12/27/21,173,51,36,1,0
12/28/21,200,58,64,1,0
12/29/21,229,62,70,1,1
12/30/21,240,54,54,1,1
12/31/21,262,56,68,1,0
1/1/22,278,63,81,2,1
1/2/22,292,64,64,1,3
1/3/22,311,65,59,2,0
1/4/22,351,61,100,0,3
1/5/22,382,69,95,3,0
1/6/22,401,92,105,2,1
1/7/22,432,93,102,2,1
1/8/22,471,103,123,2,4
1/9/22,523,114,135,4,2
1/10/22,536,122,95,3,4
1/11/22,550,132,116,5,9
1/12/22,552,128,106,2,6
1/13/22,560,127,120,2,3
1/14/22,576,132,128,2,3
1/15/22,612,136,141,5,5
1/16/22,630,139,118,6,4
1/17/22,653,133,109,3,0
1/18/22,679,145,123,3,4
1/19/22,725,152,163,12,3
1/20/22,697,162,117,5,2
1/21/22,678,152,105,8,6
1/22/22,646,147,108,2,6
1/23/22,642,152,92,6,7
1/24/22,661,144,109,9,7
1/25/22,651,143,105,7,6
1/26/22,626,135,101,4,7
1/27/22,613,131,102,10,0
1/28/22,611,130,107,2,8
1/29/22,610,137,116,6,1
1/30/22,607,143,79,4,4
1/31/22,602,147,80,3,6
2/1/22,586,149,88,5,8
2/2/22,569,143,85,8,7
2/3/22,517,135,75,4,3
2/4/22,503,121,42,4,6
2/5/22,449,113,41,5,0
2/6/22,428,119,51,1,0
2/7/22,419,121,47,3,1
2/8/22,408,116,67,4,7
2/9/22,410,113,60,8,2
2/10/22,391,113,72,2,6
2/11/22,376,101,63,3,3
2/12/22,358,97,49,3,3
2/13/22,346,97,42,3,2
2/14/22,333,93,39,6,1
2/15/22,324,90,49,5,0
2/16/22,315,87,41,5,2
2/17/22,293,83,30,1,0
2/18/22,279,80,42,4,0
2/19/22,259,68,41,4,1
2/20/22,242,64,16,0,3
2/21/22,245,76,25,7,0
2/22/22,238,69,31,1,0
2/23/22,231,72,32,2,0
2/24/22,213,65,17,0,1
2/25/22,171,61,11,1,3
2/26/22,155,59,16,3,1
2/27/22,149,49,12,2,0
2/28/22,154,54,20,1,0
3/1/22,152,55,26,3,0
3/2/22,127,48,1,0,4
3/3/22,120,42,14,3,0
3/4/22,109,39,10,1,1
3/5/22,105,37,17,0,2
3/6/22,105,38,12,2,0
3/7/22,110,33,14,2,1
3/8/22,95,33,5,2,1
3/9/22,96,32,21,0,1
3/10/22,87,29,12,0,0
3/11/22,77,29,5,0,0
3/12/22,71,28,12,1,3
3/13/22,64,24,1,1,0
3/14/22,74,23,20,2,0
3/15/22,63,24,5,1,0
3/16/22,56,23,3,0,2
3/17/22,51,21,8,0,0
3/18/22,52,22,9,1,0
3/19/22,47,20,4,1,0
3/20/22,43,18,5,0,0
3/21/22,37,17,0,1,0
3/22/22,41,17,7,0,0
3/23/22,38,15,5,1,0
3/24/22,32,13,4,0,2
3/25/22,30,10,5,0,0
3/26/22,32,11,9,1,0
3/27/22,32,11,9,1,0
3/28/22,31,11,7,0,0
3/29/22,32,12,9,2,0
3/30/22,36,13,10,3,0
3/31/22,35,16,9,1,0
4/1/22,26,12,2,3,0
4/2/22,24,10,5,0,0
4/3/22,28,7,9,1,0
4/4/22,25,7,3,0,0
